,time
0,0.0
1,900.0
2,1800.0
3,2700.0
4,3600.0
5,4500.0
6,5400.0
7,6300.0
8,7200.0
9,8100.0
10,9000.0
11,9900.0
12,10800.0
13,11700.0
14,12600.0
15,13500.0
16,14400.0
17,15300.0
18,16200.0
19,17100.0
20,18000.0
21,18900.0
22,19800.0
23,20700.0
24,21600.0
25,22500.0
26,23400.0
27,24300.0
28,25200.0
29,26100.0
30,27000.0
31,27900.0
32,28800.0
33,29700.0
34,30600.0
35,31500.0
36,32400.0
37,33300.0
38,34200.0
39,35100.0
40,36000.0
41,36900.0
42,37800.0
43,38700.0
44,39600.0
45,40500.0
46,41400.0
47,42300.0
48,43200.0
49,44100.0
50,45000.0
51,45900.0
52,46800.0
53,47700.0
54,48600.0
55,49500.0
56,50400.0
57,51300.0
58,52200.0
59,53100.0
60,54000.0
61,54900.0
62,55800.0
63,56700.0
64,57600.0
65,58500.0
66,59400.0
67,60300.0
68,61200.0
69,62100.0
70,63000.0
71,63900.0
72,64800.0
73,65700.0
74,66600.0
75,67500.0
76,68400.0
77,69300.0
78,70200.0
79,71100.0
80,72000.0
81,72900.0
82,73800.0
83,74700.0
84,75600.0
85,76500.0
86,77400.0
87,78300.0
88,79200.0
89,80100.0
90,81000.0
91,81900.0
92,82800.0
93,83700.0
94,84600.0
95,85500.0
