,time,ptg_demand,pth_demand,T_amb_ptg,T_amb_avg,WF,PV,T_amb_pth,WF_max,PV_max,ptg_pmin,ptg_pmax,ptg_cost,pth_pmin,pth_pmax,pth_cost,ptg_demand_half,pth_demand_half,constant1,constant_pth
0,0,0.003786030,3.91000,11.8,12.45,88.750949,0,11.8,88.750949,0,0,50,-14,0,50,-12,0.001893015,1.955,0,0
1,3600,0.003782465,3.90500,11.9,12.45,90.293251,0,11.9,90.293251,0,10,50,-14,5,50,-12,0.001891233,1.9525,0,0
2,7200,0.003768205,3.88500,12.3,12.45,92.601445,0,12.3,92.601445,0,20,50,-1,0,50,-12,0.001884103,1.9425,0,0
3,10800,0.003750380,3.86000,12.8,12.45,94.943193,0,12.8,94.943193,0,0,50,-1,8,50,-12,0.00187519,1.93,0,0
4,14400,0.003739685,3.84500,13.1,12.45,97.679965,0,13.1,97.679965,0,0,50,-14,0,50,-12,0.001869843,1.9225,0,0
5,18000,0.003714730,3.81000,13.8,12.45,98.850022,0,13.8,98.850022,0,0,50,-14,0,50,-12,0.001857365,1.905,0,0
6,21600,0.003707600,3.80000,14,12.45,99.100837,0,14,99.100837,0,0,50,-14,0,50,-12,0.0018538,1.9,0,0
7,25200,0.003764640,3.88000,12.4,12.45,99.382052,0,12.4,99.382052,0,0,50,-14,0,50,-12,0.00188232,1.94,0,0
8,28800,0.003786030,3.91000,11.8,12.45,99.238043,0.291983,11.8,99.238043,0.291983,0,50,-14,0,50,-12,0.001893015,1.955,0,0
9,32400,0.003789595,3.91500,11.7,12.45,99.349675,5.718923,11.7,99.349675,5.718923,0,50,-14,0,50,-12,0.001894798,1.9575,0,0
10,36000,0.003775335,3.89500,12.1,12.45,99.356365,15.337419,12.1,99.356365,15.337419,0,50,-14,0,50,-12,0.001887668,1.9475,1,1
11,39600,0.003750380,3.86000,12.8,12.45,99.333389,43.767656,12.8,99.333389,43.767656,0,50,-14,0,50,-12,0.00187519,1.93,1,1
12,43200,0.003739685,3.84500,13.1,12.45,99.383457,69.304444,13.1,99.383457,69.304444,0,50,-14,0,50,-12,0.001869843,1.9225,1,1
13,46800,0.003721860,3.82000,13.6,12.45,99.278348,68.046914,13.6,99.278348,68.046914,0,50,-14,0,50,-12,0.00186093,1.91,1,1
14,50400,0.003721860,3.82000,13.6,12.45,99.128934,58.793726,13.6,99.128934,58.793726,0,50,-14,0,50,-12,0.00186093,1.91,1,1
15,54000,0.003736120,3.84000,13.2,12.45,99.122275,37.387539,13.2,99.122275,37.387539,0,50,-14,0,50,-12,0.00186806,1.92,1,1
16,57600,0.003750380,3.86000,12.8,12.45,99.375851,8.831553,12.8,99.375851,8.831553,0,50,-14,0,50,-12,0.00187519,1.93,0,0
17,61200,0.003771770,3.89000,12.2,12.45,99.195918,0,12.2,99.195918,0,0,50,-14,0,50,-12,0.001885885,1.945,0,0
18,64800,0.003778900,3.90000,12,12.45,98.507267,0,12,98.507267,0,0,50,-14,0,50,-12,0.00188945,1.95,0,0
19,68400,0.003782465,3.90500,11.9,12.45,97.685474,0,11.9,97.685474,0,0,50,-14,0,50,-12,0.001891233,1.9525,0,0
20,72000,0.003789595,3.91500,11.7,12.45,96.489627,0,11.7,96.489627,0,0,50,-14,0,50,-12,0.001894798,1.9575,0,0
21,75600,0.003796725,3.92500,11.5,12.45,92.980903,0,11.5,92.980903,0,0,50,-14,0,50,-12,0.001898363,1.9625,0,0
22,79200,0.003800290,3.93000,11.4,12.45,89.190383,0,11.4,89.190383,0,0,50,-14,0,50,-12,0.001900145,1.965,0,0
23,82800,0.003803855,3.93500,11.3,12.45,86.740936,0,11.3,86.740936,0,0,50,-14,0,50,-12,0.001901928,1.9675,0,0
24,86400,0.003721860,3.82000,13.6,13.55,26.222646,0,13.6,26.222646,0,0,50,-14,0,50,-12,0.00186093,1.91,0,0
25,90000,0.003714730,3.81000,13.8,13.55,25.343918,0,13.8,25.343918,0,0,50,-14,0,50,-12,0.001857365,1.905,0,0
26,93600,0.003714730,3.81000,13.8,13.55,27.907221,0,13.8,27.907221,0,0,50,-14,0,50,-12,0.001857365,1.905,0,0
27,97200,0.003718295,3.81500,13.7,13.55,30.633557,0,13.7,30.633557,0,0,50,-14,0,50,-12,0.001859148,1.9075,0,0
28,100800,0.003718295,3.81500,13.7,13.55,30.509491,0,13.7,30.509491,0,0,50,-14,0,50,-12,0.001859148,1.9075,0,0
29,104400,0.003707600,3.80000,14,13.55,30.188681,0,14,30.188681,0,0,50,-14,0,50,-12,0.0018538,1.9,0,0
30,108000,0.003700470,3.79000,14.2,13.55,32.822538,0,14.2,32.822538,0,0,50,-14,0,50,-12,0.001850235,1.895,0,0
31,111600,0.003704035,3.79500,14.1,13.55,31.990499,1.816785,14.1,31.990499,1.816785,0,50,-14,0,50,-12,0.001852018,1.8975,0,0
32,115200,0.003696905,3.78500,14.3,13.55,25.590066,6.871221,14.3,25.590066,6.871221,0,50,-14,0,50,-12,0.001848453,1.8925,0,0
33,118800,0.003693340,3.78000,14.4,13.55,26.332091,17.31858,14.4,26.332091,17.31858,0,50,-14,0,50,-12,0.00184667,1.89,0,0
34,122400,0.003696905,3.78500,14.3,13.55,38.080872,27.314793,14.3,38.080872,27.314793,0,50,-14,0,50,-12,0.001848453,1.8925,0,0
35,126000,0.003693340,3.78000,14.4,13.55,49.16786,32.821879,14.4,49.16786,32.821879,0,50,-14,0,50,-12,0.00184667,1.89,0,0
36,129600,0.003704035,3.79500,14.1,13.55,54.587354,43.796938,14.1,54.587354,43.796938,0,50,-14,0,50,-12,0.001852018,1.8975,0,0
37,133200,0.003682645,3.76500,14.7,13.55,57.749304,53.617628,14.7,57.749304,53.617628,0,50,-14,0,50,-12,0.001841323,1.8825,0,0
38,136800,0.003675515,3.75500,14.9,13.55,59.427451,49.577106,14.9,59.427451,49.577106,0,50,-14,0,50,-12,0.001837758,1.8775,0,0
39,140400,0.003675515,3.75500,14.9,13.55,59.39134,40.423999,14.9,59.39134,40.423999,0,50,-14,0,50,-12,0.001837758,1.8775,0,0
40,144000,0.003693340,3.78000,14.4,13.55,57.882151,25.787706,14.4,57.882151,25.787706,0,50,-14,0,50,-12,0.00184667,1.89,0,0
41,147600,0.003700470,3.79000,14.2,13.55,54.29725,10.674833,14.2,54.29725,10.674833,0,50,-14,0,50,-12,0.001850235,1.895,0,0
42,151200,0.003736120,3.84000,13.2,13.55,54.086295,2.161488,13.2,54.086295,2.161488,0,50,-14,0,50,-12,0.00186806,1.92,0,0
43,154800,0.003771770,3.89000,12.2,13.55,56.603001,0,12.2,56.603001,0,0,50,-14,0,50,-12,0.001885885,1.945,0,0
44,158400,0.003782465,3.90500,11.9,13.55,54.587368,0,11.9,54.587368,0,0,50,-14,0,50,-12,0.001891233,1.9525,0,0
45,162000,0.003796725,3.92500,11.5,13.55,50.634278,0,11.5,50.634278,0,0,50,-14,0,50,-12,0.001898363,1.9625,0,0
46,165600,0.003821680,3.96000,10.8,13.55,46.900932,0,10.8,46.900932,0,0,50,-14,0,50,-12,0.00191084,1.98,0,0
47,169200,0.003846635,3.99500,10.1,13.55,43.229483,0,10.1,43.229483,0,0,50,-14,0,50,-12,0.001923318,1.9975,0,0
